ID,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,sex,year
161,Gentoo,Biscoe,43.3,13.4,209.0,female,2007
240,Gentoo,Biscoe,51.3,14.2,218.0,male,2009
3,Adelie,Torgersen,40.3,18.0,195.0,female,2007
122,Adelie,Torgersen,37.7,19.8,198.0,male,2009
181,Gentoo,Biscoe,48.2,14.3,210.0,female,2007
284,Chinstrap,Dream,51.3,18.2,197.0,male,2007
127,Adelie,Torgersen,38.8,17.6,191.0,female,2009
329,Chinstrap,Dream,45.7,17.3,193.0,female,2009
301,Chinstrap,Dream,46.7,17.9,195.0,female,2007
134,Adelie,Dream,37.5,18.5,199.0,male,2009
81,Adelie,Torgersen,34.6,17.2,189.0,female,2008
35,Adelie,Dream,36.4,17.0,195.0,female,2007
90,Adelie,Dream,38.9,18.8,190.0,female,2008
289,Chinstrap,Dream,47.0,17.3,185.0,female,2007
114,Adelie,Biscoe,42.2,19.5,197.0,male,2009
191,Gentoo,Biscoe,44.0,13.6,208.0,female,2008
291,Chinstrap,Dream,45.9,17.1,190.0,female,2007
140,Adelie,Dream,39.7,17.9,193.0,male,2009
192,Gentoo,Biscoe,48.7,15.7,208.0,male,2008
241,Gentoo,Biscoe,47.5,14.0,212.0,female,2009
51,Adelie,Biscoe,39.6,17.7,186.0,female,2008
319,Chinstrap,Dream,50.9,19.1,196.0,male,2008
72,Adelie,Torgersen,39.7,18.4,190.0,male,2008
304,Chinstrap,Dream,49.5,19.0,200.0,male,2008
92,Adelie,Dream,41.1,18.1,205.0,male,2008
194,Gentoo,Biscoe,49.6,16.0,225.0,male,2008
77,Adelie,Torgersen,40.9,16.8,191.0,female,2008
166,Gentoo,Biscoe,48.4,14.6,213.0,male,2007
18,Adelie,Torgersen,42.5,20.7,197.0,male,2007
41,Adelie,Dream,36.5,18.0,182.0,female,2007
34,Adelie,Dream,40.9,18.9,184.0,male,2007
177,Gentoo,Biscoe,42.9,13.1,215.0,female,2007
149,Adelie,Dream,36.0,17.8,195.0,female,2009
253,Gentoo,Biscoe,48.5,15.0,219.0,female,2009
138,Adelie,Dream,40.2,20.1,200.0,male,2009
280,Chinstrap,Dream,45.4,18.7,188.0,female,2007
58,Adelie,Biscoe,40.6,18.8,193.0,male,2008
102,Adelie,Biscoe,41.0,20.0,203.0,male,2009
264,Gentoo,Biscoe,49.8,15.9,229.0,male,2009
186,Gentoo,Biscoe,59.6,17.0,230.0,male,2007
212,Gentoo,Biscoe,50.4,15.3,224.0,male,2008
130,Adelie,Torgersen,44.1,18.0,210.0,male,2009
47,Adelie,Dream,41.1,19.0,182.0,male,2007
96,Adelie,Dream,40.8,18.9,208.0,male,2008
271,Gentoo,Biscoe,47.2,13.7,214.0,female,2009
214,Gentoo,Biscoe,46.2,14.9,221.0,male,2008
143,Adelie,Dream,32.1,15.5,188.0,female,2009
32,Adelie,Dream,37.2,18.1,178.0,male,2007
338,Chinstrap,Dream,46.8,16.5,189.0,female,2009
148,Adelie,Dream,36.6,18.4,184.0,female,2009
254,Gentoo,Biscoe,55.9,17.0,228.0,male,2009
1,Adelie,Torgersen,39.1,18.7,181.0,male,2007
311,Chinstrap,Dream,49.7,18.6,195.0,male,2008
298,Chinstrap,Dream,48.5,17.5,191.0,male,2007
315,Chinstrap,Dream,46.9,16.6,192.0,female,2008
107,Adelie,Biscoe,38.6,17.2,199.0,female,2009
200,Gentoo,Biscoe,50.5,15.9,225.0,male,2008
299,Chinstrap,Dream,43.2,16.6,187.0,female,2007
227,Gentoo,Biscoe,46.4,15.0,216.0,female,2008
222,Gentoo,Biscoe,50.7,15.0,223.0,male,2008
110,Adelie,Biscoe,43.2,19.0,197.0,male,2009
178,Gentoo,Biscoe,46.1,15.1,215.0,male,2007
105,Adelie,Biscoe,37.9,18.6,193.0,female,2009
42,Adelie,Dream,40.8,18.4,195.0,male,2007
265,Gentoo,Biscoe,43.5,15.2,213.0,female,2009
68,Adelie,Biscoe,41.1,19.1,188.0,male,2008
157,Gentoo,Biscoe,47.6,14.5,215.0,male,2007
54,Adelie,Biscoe,42.0,19.5,200.0,male,2008
256,Gentoo,Biscoe,49.1,15.0,228.0,male,2009
326,Chinstrap,Dream,49.8,17.3,198.0,female,2009
17,Adelie,Torgersen,38.7,19.0,195.0,female,2007
341,Chinstrap,Dream,43.5,18.1,202.0,female,2009
208,Gentoo,Biscoe,45.0,15.4,220.0,male,2008
310,Chinstrap,Dream,51.0,18.8,203.0,male,2008
33,Adelie,Dream,39.5,17.8,188.0,female,2007
274,Gentoo,Biscoe,50.4,15.7,222.0,male,2009
239,Gentoo,Biscoe,43.4,14.4,218.0,female,2009
242,Gentoo,Biscoe,52.1,17.0,230.0,male,2009
6,Adelie,Torgersen,39.3,20.6,190.0,male,2007
129,Adelie,Torgersen,39.0,17.1,191.0,female,2009
38,Adelie,Dream,42.2,18.5,180.0,female,2007
259,Gentoo,Biscoe,41.7,14.7,210.0,female,2009
169,Gentoo,Biscoe,42.0,13.5,210.0,female,2007
266,Gentoo,Biscoe,51.5,16.3,230.0,male,2009
297,Chinstrap,Dream,42.4,17.3,181.0,female,2007
251,Gentoo,Biscoe,48.4,14.4,203.0,female,2009
145,Adelie,Dream,37.3,16.8,192.0,female,2009
69,Adelie,Torgersen,35.9,16.6,190.0,female,2008
224,Gentoo,Biscoe,46.4,15.6,221.0,male,2008
142,Adelie,Dream,40.6,17.2,187.0,male,2009
135,Adelie,Dream,38.1,17.6,187.0,female,2009
14,Adelie,Torgersen,38.6,21.2,191.0,male,2007
71,Adelie,Torgersen,33.5,19.0,190.0,female,2008
20,Adelie,Torgersen,46.0,21.5,194.0,male,2007
163,Gentoo,Biscoe,40.9,13.7,214.0,female,2007
46,Adelie,Dream,39.6,18.8,190.0,male,2007
318,Chinstrap,Dream,46.2,17.5,187.0,female,2008
283,Chinstrap,Dream,46.1,18.2,178.0,female,2007
225,Gentoo,Biscoe,48.2,15.6,221.0,male,2008
302,Chinstrap,Dream,52.0,19.0,197.0,male,2007
245,Gentoo,Biscoe,45.5,14.5,212.0,female,2009
215,Gentoo,Biscoe,45.7,13.9,214.0,female,2008
221,Gentoo,Biscoe,43.5,14.2,220.0,female,2008
316,Chinstrap,Dream,53.5,19.9,205.0,male,2008
261,Gentoo,Biscoe,43.3,14.0,208.0,female,2009
336,Chinstrap,Dream,45.6,19.4,194.0,female,2009
317,Chinstrap,Dream,49.0,19.5,210.0,male,2008
281,Chinstrap,Dream,52.7,19.8,197.0,male,2007
209,Gentoo,Biscoe,43.8,13.9,208.0,female,2008
168,Gentoo,Biscoe,49.3,15.7,217.0,male,2007
50,Adelie,Dream,42.3,21.2,191.0,male,2007
226,Gentoo,Biscoe,46.5,14.8,217.0,female,2008
198,Gentoo,Biscoe,43.6,13.9,217.0,female,2008
270,Gentoo,Biscoe,48.8,16.2,222.0,male,2009
112,Adelie,Biscoe,45.6,20.3,191.0,male,2009
60,Adelie,Biscoe,37.6,19.1,194.0,male,2008
2,Adelie,Torgersen,39.5,17.4,186.0,female,2007
56,Adelie,Biscoe,41.4,18.6,191.0,male,2008
87,Adelie,Dream,36.3,19.5,190.0,male,2008
213,Gentoo,Biscoe,45.3,13.8,208.0,female,2008
40,Adelie,Dream,39.8,19.1,184.0,male,2007
275,Gentoo,Biscoe,45.2,14.8,212.0,female,2009
98,Adelie,Dream,40.3,18.5,196.0,male,2008
59,Adelie,Biscoe,36.5,16.6,181.0,female,2008
276,Gentoo,Biscoe,49.9,16.1,213.0,male,2009
250,Gentoo,Biscoe,46.9,14.6,222.0,female,2009
19,Adelie,Torgersen,34.4,18.4,184.0,female,2007
95,Adelie,Dream,36.2,17.3,187.0,female,2008
285,Chinstrap,Dream,46.0,18.9,195.0,female,2007
173,Gentoo,Biscoe,50.2,14.3,218.0,male,2007
339,Chinstrap,Dream,45.7,17.0,195.0,female,2009
141,Adelie,Dream,40.2,17.1,193.0,female,2009
332,Chinstrap,Dream,52.2,18.8,197.0,male,2009
252,Gentoo,Biscoe,51.1,16.5,225.0,male,2009
61,Adelie,Biscoe,35.7,16.9,185.0,female,2008
57,Adelie,Biscoe,39.0,17.5,186.0,female,2008
182,Gentoo,Biscoe,50.0,15.3,220.0,male,2007
197,Gentoo,Biscoe,50.5,15.9,222.0,male,2008
343,Chinstrap,Dream,50.8,19.0,210.0,male,2009
195,Gentoo,Biscoe,45.3,13.7,210.0,female,2008
176,Gentoo,Biscoe,46.3,15.8,215.0,male,2007
65,Adelie,Biscoe,36.4,17.1,184.0,female,2008
55,Adelie,Biscoe,34.5,18.1,187.0,female,2008
244,Gentoo,Biscoe,52.2,17.1,228.0,male,2009
262,Gentoo,Biscoe,48.1,15.1,209.0,male,2009
27,Adelie,Biscoe,40.6,18.6,183.0,male,2007
167,Gentoo,Biscoe,45.8,14.6,210.0,female,2007
288,Chinstrap,Dream,51.7,20.3,194.0,male,2007
199,Gentoo,Biscoe,45.5,13.9,210.0,female,2008
305,Chinstrap,Dream,46.4,17.8,191.0,female,2008
267,Gentoo,Biscoe,46.2,14.1,217.0,female,2009
320,Chinstrap,Dream,45.5,17.0,196.0,female,2008
156,Gentoo,Biscoe,50.0,15.2,218.0,male,2007
137,Adelie,Dream,35.6,17.5,191.0,female,2009
158,Gentoo,Biscoe,46.5,13.5,210.0,female,2007
106,Adelie,Biscoe,39.7,18.9,184.0,male,2009
94,Adelie,Dream,39.6,18.1,186.0,male,2008
223,Gentoo,Biscoe,47.7,15.0,216.0,female,2008
128,Adelie,Torgersen,41.5,18.3,195.0,male,2009
344,Chinstrap,Dream,50.2,18.7,198.0,female,2009
26,Adelie,Biscoe,35.3,18.9,187.0,female,2007
196,Gentoo,Biscoe,49.6,15.0,216.0,male,2008
78,Adelie,Torgersen,37.2,19.4,184.0,male,2008
113,Adelie,Biscoe,39.7,17.7,193.0,female,2009
282,Chinstrap,Dream,45.2,17.8,198.0,female,2007
109,Adelie,Biscoe,38.1,17.0,181.0,female,2009
